,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month,Min_price
0,2008-01-01,Karnataka,Mandya,Rice,10.0,900.0,1620,1472,2008,1,1324
10,2008-02-01,Karnataka,Mandya,Rice,10.0,1000.0,1637,1489,2008,2,1341
33,2008-03-01,Karnataka,Mandya,Rice,10.0,950.0,1650,1502,2008,3,1354
45,2008-04-01,Karnataka,Mandya,Rice,17.0,1100.0,1592,1444,2008,4,1296
60,2008-05-01,Karnataka,Mandya,Rice,10.0,900.0,1670,1522,2008,5,1374
73,2008-06-01,Karnataka,Mandya,Rice,1.0,950.0,1650,1502,2008,6,1354
91,2008-07-01,Karnataka,Mandya,Rice,9.0,1000.0,1662,1514,2008,7,1366
124,2008-08-01,Karnataka,Mandya,Rice,6.0,1150.0,1592,1444,2008,8,1296
143,2008-09-01,Karnataka,Mandya,Rice,10.0,1100.0,1662,1514,2008,9,1366
151,2008-10-01,Karnataka,Mandya,Rice,10.0,850.0,1637,1489,2008,10,1341
159,2008-11-01,Karnataka,Mandya,Rice,10.0,1100.0,1670,1522,2008,11,1374
171,2008-12-01,Karnataka,Mandya,Rice,15.0,1150.0,1637,1489,2008,12,1341
179,2009-01-01,Karnataka,Mandya,Rice,5.0,1050.0,1637,1489,2009,1,1341
205,2009-02-01,Karnataka,Mandya,Rice,10.0,1670.0,1654,1506,2009,2,1358
224,2009-03-01,Karnataka,Mandya,Rice,10.0,1300.0,1667,1519,2009,3,1371
242,2009-04-01,Karnataka,Mandya,Rice,10.0,1250.0,1609,1461,2009,4,1313
253,2009-05-01,Karnataka,Mandya,Rice,19.0,1500.0,1687,1539,2009,5,1391
268,2009-06-01,Karnataka,Mandya,Rice,10.0,1200.0,1667,1519,2009,6,1371
274,2009-07-01,Karnataka,Mandya,Rice,7.0,1300.0,1679,1531,2009,7,1383
283,2009-08-01,Karnataka,Mandya,Rice,10.0,1100.0,1609,1461,2009,8,1313
288,2009-09-01,Karnataka,Mandya,Rice,4.0,2000.0,1679,1531,2009,9,1383
292,2009-10-01,Karnataka,Mandya,Rice,1.0,1500.0,1654,1506,2009,10,1358
305,2009-11-01,Karnataka,Mandya,Rice,5.0,1050.0,1687,1539,2009,11,1391
317,2009-12-01,Karnataka,Mandya,Rice,7.0,1000.0,1654,1506,2009,12,1358
329,2010-01-01,Karnataka,Mandya,Rice,10.0,1400.0,1654,1506,2010,1,1358
340,2010-02-01,Karnataka,Mandya,Rice,10.0,1350.0,1667,1519,2010,2,1371
346,2010-03-01,Karnataka,Mandya,Rice,15.0,120.0,1680,1532,2010,3,1384
352,2010-04-01,Karnataka,Mandya,Rice,5.0,1350.0,1622,1474,2010,4,1326
373,2010-05-01,Karnataka,Mandya,Rice,10.0,1573.0,1700,1552,2010,5,1404
385,2010-06-01,Karnataka,Mandya,Rice,23.0,687.0,1680,1532,2010,6,1384
393,2010-07-01,Karnataka,Mandya,Rice,10.0,1200.0,1692,1544,2010,7,1396
396,2010-08-01,Karnataka,Mandya,Rice,33.0,600.0,1622,1474,2010,8,1326
402,2010-09-01,Karnataka,Mandya,Rice,18.5,1050.0,1692,1544,2010,9,1396
403,2010-10-01,Karnataka,Mandya,Rice,4.0,1500.0,1667,1519,2010,10,1371
405,2010-11-01,Karnataka,Mandya,Rice,3.0,1500.0,1700,1552,2010,11,1404
407,2010-12-01,Karnataka,Mandya,Rice,10.0,1496.0,1667,1519,2010,12,1371
409,2011-01-01,Karnataka,Mandya,Rice,2.0,1800.0,1667,1519,2011,1,1371
412,2011-02-01,Karnataka,Mandya,Rice,5.0,1460.0,1609,1461,2011,2,1313
417,2011-03-01,Karnataka,Mandya,Rice,1.0,1700.0,1622,1474,2011,3,1326
420,2011-04-01,Karnataka,Mandya,Rice,2.0,1800.0,1564,1416,2011,4,1268
422,2011-05-01,Karnataka,Mandya,Rice,187.0,1428.0,1642,1494,2011,5,1346
429,2011-06-01,Karnataka,Mandya,Rice,2.0,1400.0,1622,1474,2011,6,1326
432,2011-07-01,Karnataka,Mandya,Rice,10.0,1400.0,1634,1486,2011,7,1338
436,2011-08-01,Karnataka,Mandya,Rice,15.0,1400.0,1564,1416,2011,8,1268
443,2011-09-01,Karnataka,Mandya,Rice,2.0,1850.0,1634,1486,2011,9,1338
452,2011-10-01,Karnataka,Mandya,Rice,9.0,1400.0,1609,1461,2011,10,1313
459,2011-11-01,Karnataka,Mandya,Rice,10.0,1400.0,1642,1494,2011,11,1346
463,2011-12-01,Karnataka,Mandya,Rice,2.0,1550.0,1609,1461,2011,12,1313
471,2012-01-01,Karnataka,Mandya,Rice,1.0,1000.0,1609,1461,2012,1,1313
